company	Year	FCFF	TotalDebt	Revenues	NetCapExp	EBITDA	TaxRate	NetIncome
ACTELIOS SPA	2004	-19.6308166	-24.974	13.54	56.444	-6.12	-0.3127	0.444
ACTELIOS SPA	2005	7.3121734	10.596	-0.85	-14.386	-3.93	0.1227	-3.086
ACTELIOS SPA	2006	-1.0034766	56.496	10.65	-21.006	8.62	0.1597	-1.106
ACTELIOS SPA	2007	42.5535154	-13.764	24.53	-34.756	18.66	-0.0395	8.064
ACTRIS AG	2003	-6.3964226	-0.4	9.948	7.872	-3.288	-0.0569	-6.1400468
ACTRIS AG	2004	5.3002364	-2.9	-0.532	-2.638	3.272	0.0332	2.8095252
ACTRIS AG	2005	4.1113044	2.03	5.378	-1.308	5.072	0.037	6.8795252
ACTRIS AG	2006	4.1113044	2.03	5.378	-1.308	5.072	0.037	6.8795252
ACTRIS AG	2007	-7.1264226	-0.76	-20.172	-2.618	-10.128	-0.0503	-10.4285288
ADCAPITAL AG	2003	56.014874	24.364	59.596	-14.46	27.876	-0.06078	-1.01
ADCAPITAL AG	2004	-20.111602	3.124	24.076	1.82	-11.274	0.07232	-5.85
ADCAPITAL AG	2005	-9.517543	-18.206	-5.334	-2.25	-4.314	0.03202	-8.64
ADCAPITAL AG	2006	-15.676067	-10.946	4.376	9.12	-3.954	0.01722	15.93
ADCAPITAL AG	2007	-10.709662	1.664	-82.714	5.77	-8.334	-0.06078	-0.43
ADOLFO DOMINGUEZ	2003	-0.1817394	4.854	-21.98	-7	-11.27	-0.06074	-7.646
ADOLFO DOMINGUEZ	2004	-0.8712174	1.704	-17.68	-5.63	-7.32	0.01836	-5.466
ADOLFO DOMINGUEZ	2005	1.8220106	-2.146	-13.87	-5.5	-2.36	0.05056	-2.706
ADOLFO DOMINGUEZ	2006	-10.4288004	-2.296	12	7.42	4.96	0.01106	3.744
ADOLFO DOMINGUEZ	2007	9.6597466	-2.116	41.53	10.71	15.99	-0.01924	12.074
AEDES SPA	2003	-291.4813804	134.656	-67.796	248.866	-7.29	-0.2025	1.254
AEDES SPA	2004	42.9104436	324.576	-32.446	22.426	3.45	0.4421	-15.436
AEDES SPA	2005	217.0762816	105.386	-74.956	-156.104	19.61	-0.1314	1.264
AEDES SPA	2006	263.2562416	-345.804	63.134	-141.574	17.59	-0.0301	1.114
AEDES SPA	2007	-231.7615864	-218.814	112.064	26.386	-33.36	-0.0781	11.804
AEGON NV	2003	-7319.90434	512.2	-19781.6	3145	-2321.8	-0.03118	-557.8
AEGON NV	2004	-6387.26634	23.2	2704.4	-187	-216.8	0.02492	-311.8
AEGON NV	2005	-8100.52184	26.2	-1886.6	713	-104.8	0.01812	-441.8
AEGON NV	2006	10576.78226	-54.8	8553.4	-1646	1206.2	0.02782	627.2
AEGON NV	2007	11230.91026	-506.8	10410.4	-2025	1437.2	-0.03968	684.2
AF GRUPPEN ASA	2003	14.733181	59.34	-737.372	-1.052	-29.646	0.01978	-15.632
AF GRUPPEN ASA	2004	161.699721	-56.85	-935.772	-64.062	-60.236	-0.21202	-59.062
AF GRUPPEN ASA	2005	140.024471	-0.88	-123.592	-52.292	-7.586	0.03638	-1.132
AF GRUPPEN ASA	2006	-201.378541	-45.6	306.948	50.308	7.754	0.09178	14.678
AF GRUPPEN ASA	2007	-115.078832	43.99	1489.788	67.098	89.714	0.06408	61.148
AFONE	2003	3.8078846	-10.364	-37.982	-0.312	-3.022	0.03628	-0.428
AFONE	2004	3.9275936	-10.174	-37.812	-1.242	-3.462	0.15798	-1.168
AFONE	2005	2.9203026	11.896	-11.562	-1.312	-1.192	0.05528	-0.268
AFONE	2006	-3.9787064	7.526	45.278	-2.402	8.478	0.04688	2.202
AFONE	2007	-6.6770744	1.116	42.078	5.268	-0.802	-0.29642	-0.338
AGFA GEVAERT NV	2003	114.39164	23.8	809.2	-32.2	217.2	-0.03112	113.25294
AGFA GEVAERT NV	2004	200.90154	-64.2	341.2	45.8	298.2	-0.07492	242.25294
AGFA GEVAERT NV	2005	-175.81366	-208.2	-111.8	-79.2	-281.8	-0.15592	-209.01176
AGFA GEVAERT NV	2006	-217.01606	153.8	-565.8	28.8	-152.8	0.63098	-80.74706
AGFA GEVAERT NV	2007	77.53654	94.8	-472.8	36.8	-80.8	-0.36902	-65.74706
AGGREKO PLC	2003	8.859992	-7.48	-50.68	-11.78	-7.18	0.01942	14.14
AGGREKO PLC	2004	3.853032	-25.68	-58.98	-12.08	-20.18	-0.02618	-2.36
AGGREKO PLC	2005	18.567152	-42.18	-67.18	-17.38	-16.08	-0.02658	-0.56
AGGREKO PLC	2006	-14.826928	-20.98	26.92	1.62	1.82	0.00392	-10.36
AGGREKO PLC	2007	-16.453248	96.32	149.92	39.62	41.62	0.02942	-0.86
AHLERS AG	2003	6.155827	26.964	36.6	-2.01	3.088	-0.08106	-18.04
AHLERS AG	2004	5.274062	21.764	13.94	2.68	0.008	-0.10556	-17.17
AHLERS AG	2005	4.677251	-5.516	6.01	2.19	0.578	-0.12376	-14.85
AHLERS AG	2006	-1.471398	-7.286	11.4	2.79	3.188	-0.13356	-12.88
AHLERS AG	2007	-14.635742	-35.926	-67.95	-5.65	-6.862	0.44394	62.94
AIR LIQUIDE	2003	197.95253	-1195.94	-1510.34	-183.72	-247.38	0.05664	-125.2
AIR LIQUIDE	2004	-22.21275	-1403.44	-1017.14	-65.22	-217.48	-0.00736	-102.8
AIR LIQUIDE	2005	-174.96944	1003.46	-34.54	-42.32	-30.88	-0.03146	-50.9
AIR LIQUIDE	2006	60.86173	824.26	1024.06	74.58	147.92	-0.00966	105
AIR LIQUIDE	2007	-61.63207	771.66	1537.96	216.68	347.82	-0.00816	173.9
AIR PARTNER PLC	2003	-1.8656934	0.656	-18.33	-0.174	-0.934	0.00308	-0.646
AIR PARTNER PLC	2004	-1.4619344	0.196	-32.4	-0.324	-0.154	0.00168	0.164
AIR PARTNER PLC	2005	1.3328956	-0.114	-9.42	-0.104	0.596	0.00918	0.994
AIR PARTNER PLC	2006	-4.2668884	-0.454	7.37	-0.024	-2.674	-0.02922	-2.266
AIR PARTNER PLC	2007	6.2616206	-0.284	52.78	0.626	3.166	0.01528	1.754
AIXTRON AG	2003	-13.9451188	0	12.126	8.908	18.732	0.14186	12.6904192
AIXTRON AG	2004	-9.8441388	0	-47.344	-0.872	-26.698	0.09876	-19.9016768
AIXTRON AG	2005	3.7896212	0	1.376	-0.822	3.412	-0.00044	4.5704192
AIXTRON AG	2006	15.6146092	0	0.776	-0.902	-3.388	-0.15724	-0.6395808
AIXTRON AG	2007	4.3850272	0	33.066	-6.312	7.942	-0.08294	3.2804192
AKZO NOBEL	2003	233.0814	594.8	706.4	44.6	251	0.03312	-60
AKZO NOBEL	2004	-180.5628	-23.2	-244.6	-34.4	46	0.03182	-276
AKZO NOBEL	2005	257.67	-229.2	-607.6	-5.4	-130	0.00172	-22
AKZO NOBEL	2006	-766.994	-122.2	-295.6	-18.4	-237	0.00302	83
AKZO NOBEL	2007	456.8054	-220.2	441.4	13.6	70	-0.06968	275
ALANDSBANKEN-A	2003	-7.535444	-171.236	16.414	0.5	-0.858	0.02326	-0.2189992
ALANDSBANKEN-A	2004	-6.664292	-193.546	7.604	0.5	0.282	0.01866	0.6521528
ALANDSBANKEN-A	2005	-6.003504	-121.926	2.034	0.5	0.632	-0.00814	1.3129408
ALANDSBANKEN-A	2006	-13.752212	218.144	-59.046	0.5	-9.978	-0.01804	-6.4357672
ALANDSBANKEN-A	2007	33.955452	268.564	32.994	-2	9.922	-0.01574	4.6896728
ALANDSBANKEN-B	2003	-7.535444	-171.236	16.414	0.5	-0.858	0.02326	-0.2189992
ALANDSBANKEN-B	2004	-6.664292	-193.546	7.604	0.5	0.282	0.01866	0.6521528
ALANDSBANKEN-B	2005	-6.003504	-121.926	2.034	0.5	0.632	-0.00814	1.3129408
ALANDSBANKEN-B	2006	-13.752212	218.144	-59.046	0.5	-9.978	-0.01804	-6.4357672
ALANDSBANKEN-B	2007	33.955452	268.564	32.994	-2	9.922	-0.01574	4.6896728
ALBA PLC	2003	-6.88861	-7.06	-16.34	3	18.74	-0.07858	18.168624
ALBA PLC	2004	-0.30516	-13.46	75.46	2.2	23.54	-0.03968	22.668624
ALBA PLC	2005	-24.28541	43.64	122.36	-2	10.44	-0.01798	11.068624
ALBA PLC	2006	25.16459	-20.16	36.36	-1.7	-4.46	0.23202	-8.631376
ALBA PLC	2007	6.31459	-2.96	-217.84	-1.5	-48.26	-0.09578	-43.274496
ALEXANDRA PLC	2003	-1.0023068	0.806	-1.22	0.092	-0.706	-0.00644	0.874
ALEXANDRA PLC	2004	1.8053432	-4.534	-4.19	0.022	-0.986	0.01496	0.874
ALEXANDRA PLC	2005	1.8053432	-4.534	-3.88	0.022	-0.986	0.01496	0.874
ALEXANDRA PLC	2006	-2.8182188	2.166	2.41	0.402	1.024	0.01596	-0.856
ALEXANDRA PLC	2007	0.2098392	6.096	6.88	-0.538	1.654	-0.03944	-1.766
ALFA LAVAL AB	2003	-45.700636	1359.12	-1329.48	-174.82	-127.86	0.27514	-667.96
ALFA LAVAL AB	2004	108.676914	444.92	-2015.08	-142.22	-294.46	-0.15536	-142.36
ALFA LAVAL AB	2005	-809.789766	-613.68	-938.58	28.18	-258.56	0.07954	-184.96
ALFA LAVAL AB	2006	204.715694	-317.88	406.02	130.68	-257.86	-0.15876	96.64
ALFA LAVAL AB	2007	542.097794	-872.48	3877.12	158.18	938.74	-0.04056	898.64
ALITALIA	2003	-608.816	-150.492	396.028	563.47	126.28	0.21592	473.262
ALITALIA	2004	-187.986	142.678	-34.882	46.09	-114.46	-0.05398	-261.628
ALITALIA	2005	369.764	10.448	-269.672	-202.39	-127.39	-0.05398	-238.218
ALITALIA	2006	330.904	103.558	-124.062	-218.41	293	-0.05398	233.112
ALITALIA	2007	96.134	-106.192	32.588	-188.76	-177.43	-0.05398	-206.528
ALIZYME PLC	2003	3.318	-0.008	-0.806	-0.004	3.596	0.00362	3.4064956
ALIZYME PLC	2004	4.118	-0.008	0.434	-0.064	3.126	0.01052	3.0466076
ALIZYME PLC	2005	4.118	-0.008	0.844	-0.064	3.126	0.01052	3.0466076
ALIZYME PLC	2006	-5.242	0.032	-0.806	0.056	-4.534	-0.01348	-4.4022604
ALIZYME PLC	2007	-6.312	-0.008	0.334	0.076	-5.314	-0.01118	-5.0974504
ALM. BRAND A/S	2003	-804.89766	-6259	-1562.4	224.4	-643.2	-0.06898	-352
ALM. BRAND A/S	2004	-162.32476	-6691	-150.4	-106.6	-306.2	-0.03468	-116
ALM. BRAND A/S	2005	-52.79616	-6693	-238.4	-50.6	-147.2	0.02052	-55
ALM. BRAND A/S	2006	360.63994	9329	1077.6	-26.6	293.8	-0.01718	200
ALM. BRAND A/S	2007	659.37864	10314	873.6	-40.6	802.8	0.10032	323
ALPHA BANK A.E.	2003	-845.657272	-4891.77	-345.966	100.162	-394.396	0.06422	-204.2791764
ALPHA BANK A.E.	2004	-749.499066	-4395.04	-437.166	100.162	-278.036	0.01012	-108.1209704
ALPHA BANK A.E.	2005	-620.082268	-2820.22	-236.826	100.162	-112.146	-0.01418	21.2958276
ALPHA BANK A.E.	2006	4609.59449	4061.41	58.044	-192.318	325.894	-0.07908	120.6421596
ALPHA BANK A.E.	2007	-2394.355884	8045.62	961.914	-108.168	458.684	0.01892	170.4621596
ALPHAMERIC PLC	2003	2.764704	0.184	1.114	-4.27	2.338	0.76408	0.584
ALPHAMERIC PLC	2004	1.293364	-0.166	0.694	-1.55	-1.212	-0.23312	-3.796
ALPHAMERIC PLC	2005	1.353364	-0.786	-19.676	2.92	-0.522	-0.23312	2.244
ALPHAMERIC PLC	2006	-3.023004	-1.626	12.674	1.45	2.268	-0.06472	2.814
ALPHAMERIC PLC	2007	-2.388428	2.394	5.194	1.45	-2.872	-0.23312	-1.846
ALSTOM	2003	-94.02464	2473.6	5486.6	-79.6	-398	-0.00878	-357.8
ALSTOM	2004	-965.02464	666.6	823.6	-172.6	-870	-0.15878	-966.8
ALSTOM	2005	-202.02464	-818.4	-2202.4	-154.6	-148	-0.15878	-115.8
ALSTOM	2006	502.23436	-1286.4	-2451.4	91.4	779	0.24972	585.2
ALSTOM	2007	758.83956	-1035.4	-1656.4	315.4	637	0.07662	855.2
ALTANA AG	2003	34.9266342	-33.094	34.212	-4.082	36.712	0.00146	-749.706
ALTANA AG	2004	-4.7923668	-53.144	160.322	53.068	39.012	0.02286	-728.896
ALTANA AG	2005	-21.0540238	-91.854	388.382	9.728	97.922	-0.00964	-683.436
ALTANA AG	2006	175.1290402	239.286	697.272	8.518	194.052	-0.02324	-635.986
ALTANA AG	2007	-184.2092838	-61.194	-1280.188	-67.232	-367.698	0.00856	2798.024
ALTEN	2003	-31.936201	9.444	-100.898	26.892	-15.588	-0.05014	-10.034
ALTEN	2004	32.086863	-5.086	-94.828	-15.918	-17.448	0.17536	-18.614
ALTEN	2005	6.881213	-4.986	-40.838	-8.808	-2.268	-0.01174	-2.294
ALTEN	2006	-6.980602	-5.596	48.252	-0.928	11.172	-0.04564	11.576
ALTEN	2007	-0.051273	6.224	188.312	-1.238	24.132	-0.06784	19.366
ALTERIAN PLC	2003	-3.669617	0	-3.806	-0.354	-2.972	-0.17296	-3.4094386
ALTERIAN PLC	2004	-3.669617	0	-2.916	-0.354	-2.972	-0.17296	-3.4094386
ALTERIAN PLC	2005	0.550383	0	-0.776	0.156	1.158	0.77674	1.8993844
ALTERIAN PLC	2006	2.220383	0	2.044	0.356	0.668	-0.20756	0.6001084
ALTERIAN PLC	2007	4.568468	0	5.454	0.196	4.118	-0.22326	4.3193844
AMAGERBANKEN A/S	2003	-194.1987676	-1843.148	-10.608	-90.624	-241.482	0.17744	-222.5894776
AMAGERBANKEN A/S	2004	-124.4596476	-1939.338	37.292	0.136	-22.272	-0.03486	4.4908744
AMAGERBANKEN A/S	2005	526.5384204	-1632.148	52.642	-70.734	142.828	0.04344	53.7308744
AMAGERBANKEN A/S	2006	-268.8927876	1681.192	-784.358	8.156	-246.542	-0.17856	-165.6331456
AMAGERBANKEN A/S	2007	61.0127824	3733.442	705.032	153.066	367.468	-0.00746	330.0008744
AMBU A/S-B	2003	-53.4974264	-2.856	-85.13	63.294	-63.606	-0.02172	-11.626
AMBU A/S-B	2004	-89.0907874	3.464	-43.84	73.254	-53.406	0.00558	-4.346
AMBU A/S-B	2005	-98.0600784	31.764	1.97	61.574	-39.446	0.02248	0.054
AMBU A/S-B	2006	2.0806396	-3.616	63.92	12.414	-26.536	0.04548	10.774
AMBU A/S-B	2007	238.5676526	-28.756	63.08	-210.536	182.994	-0.05182	5.144
AMEC PLC	2003	-35.965334	-176.24	-880.32	-12.84	-29.32	0.14528	-35.12
AMEC PLC	2004	-41.193664	166.16	329.88	7.86	36.28	-0.16082	11.18
AMEC PLC	2005	-130.606374	304.66	564.58	-7.64	25.78	0.13048	3.88
AMEC PLC	2006	33.078026	141.16	849.58	13.36	3.88	0.32878	-97.02
AMEC PLC	2007	174.687346	-435.74	-863.72	-0.74	-36.62	-0.44372	117.08
AMLIN PLC	2003	-14.389432	-120.38	-293.52	-1.76	-105.84	-0.0625	-81.84
AMLIN PLC	2004	44.308948	-120.98	-107.52	-3.06	-45.74	0.0565	-20.94
AMLIN PLC	2005	-72.864932	-72.68	-76.62	-0.66	-46.24	0.0417	-19.64
AMLIN PLC	2006	41.129668	166.72	142.18	2.44	-22.94	-0.0032	-3.84
AMLIN PLC	2007	1.815748	147.32	335.48	3.04	220.76	-0.0325	126.26
AMPER SA	2003	11.8608568	11.058	5.104	-5.506	-7.332	0.05512	-4.358
AMPER SA	2004	-6.5701772	-13.482	-5.876	-0.116	-2.902	0.17322	-3.868
AMPER SA	2005	-3.5895432	-22.962	-29.646	0.784	0.738	0.03942	-2.408
AMPER SA	2006	-0.8445672	-10.302	-3.456	4.124	1.478	-0.15978	3.932
AMPER SA	2007	-0.8565692	35.688	33.874	0.714	8.018	-0.10798	6.702
AMPLIFON SPA	2003	-12.4465746	-7.708	-102.774	0.788	-28.748	0.00372	-19.092
AMPLIFON SPA	2004	-6.4505916	-23.238	-51.324	0.488	-18.138	0.14852	-21.552
AMPLIFON SPA	2005	21.4053884	-32.758	-3.134	-12.202	-0.398	0.13892	-10.292
AMPLIFON SPA	2006	-16.2174316	-26.938	38.826	8.418	17.852	-0.29698	35.578
AMPLIFON SPA	2007	13.7092094	90.642	118.406	2.508	29.432	0.00582	15.358
ANDRITZ AG	2003	-52.5333604	-54.192	-543.978	-8.492	-37.926	0.07318	-34.766
ANDRITZ AG	2004	-138.0121784	-40.552	-429.098	-9.182	-37.006	0.05888	-32.096
ANDRITZ AG	2005	104.7510416	-41.672	-172.738	-9.352	-0.906	-0.02672	-7.856
ANDRITZ AG	2006	97.4045356	-48.952	90.212	8.458	6.784	-0.05162	17.454
ANDRITZ AG	2007	-11.6100384	185.368	1055.602	18.568	69.054	-0.05372	57.264
ANEK LINES SA	2003	0.3096656	17.446	-24.25	4.464	-10.5	-0.03908	-7.86
ANEK LINES SA	2004	-3.1958364	7.466	-14	4.464	-12.46	-0.03908	-7.42
ANEK LINES SA	2005	-1.6713744	-8.384	-10.21	4.464	-8.08	-0.03908	1.46
ANEK LINES SA	2006	-5.7061404	5.766	8.85	-6.056	9.41	0.09782	1.62
ANEK LINES SA	2007	10.2636856	-22.294	39.61	-7.336	21.63	0.01942	12.2
ANOTO GROUP AB	2003	-114.21	10.868	64.434	-20.696	-172.182	0	-195.004
ANOTO GROUP AB	2004	-84.31	-2.652	35.834	-18.816	-16.652	0	-38.164
ANOTO GROUP AB	2005	96.19	-2.712	-9.146	-13.316	84.378	0	72.656
ANOTO GROUP AB	2006	69.41	-2.752	-43.306	26.514	76.648	0	105.296
ANOTO GROUP AB	2007	32.92	-2.752	-47.816	26.314	27.808	0	55.216
ANTISOMA PLC	2003	-13.804	0	1.748	-0.544	-3.254	-0.19792	-5.4513222
ANTISOMA PLC	2004	7.026	0	8.028	0.376	4.146	0.05178	4.0620638
ANTISOMA PLC	2005	7.026	0	-3.822	0.376	4.146	0.05178	4.0620638
ANTISOMA PLC	2006	-17.374	0	-3.822	-0.424	-0.824	0.05978	-0.1185832
ANTISOMA PLC	2007	17.126	0	-2.132	0.216	-4.214	0.03458	-2.5542222
ANTOFAGASTA PLC	2003	-645.0375846	98.758	-1316.828	-107.936	-1066.154	-0.02846	-584.434
ANTOFAGASTA PLC	2004	-589.8897936	-19.772	-1232.978	-94.326	-971.304	-0.01726	-489.924
ANTOFAGASTA PLC	2005	110.8053874	98.258	16.502	-120.826	19.206	0.00774	447.726
ANTOFAGASTA PLC	2006	283.5086454	-35.322	554.302	28.244	347.326	0.00294	-0.934
ANTOFAGASTA PLC	2007	840.6133454	-141.922	1979.002	294.844	1670.926	0.03504	627.566
APRIL GROUP	2003	-14.9850528	-1.858	-133.398	-0.51	-21.86	0.01252	-13.652
APRIL GROUP	2004	-18.3485568	-2.708	-82.338	-3.17	-22.15	0.05292	-17.572
APRIL GROUP	2005	-20.0317448	-4.088	7.852	-2.95	-6.26	0.00732	-6.452
APRIL GROUP	2006	25.1692402	5.422	63.832	2.98	18.23	-0.03338	13.218
APRIL GROUP	2007	28.1961142	3.232	144.052	3.65	32.04	-0.03938	24.458
ARCADIS NV	2003	-18.391214	-29.478	-141.678	8.838	-7.216	0.0273	-4.236
ARCADIS NV	2004	-16.617816	-37.368	-118.138	11.748	-13.956	0.0148	-7.536
ARCADIS NV	2005	-17.141134	-30.648	-57.848	5.038	-15.216	-0.0199	-8.766
ARCADIS NV	2006	18.911938	49.712	40.962	-10.402	5.994	-0.0015	4.504
ARCADIS NV	2007	33.238226	47.782	276.702	-15.222	30.394	-0.0207	16.034
ARRIVA PLC	2003	51.988736	-62.02	317.24	-9.9	-19.32	-0.1861	6.26
ARRIVA PLC	2004	-0.935944	-50.62	-171.76	13	-15.02	0.0939	-0.54
